asset_path,ref_count,file_exists,example_src_in_html
treatment/start/common/img/start01/pic15.jpg,2,yes,./common/img/start01/pic15.jpg
treatment/start/common/img/start02/pic01.jpg,1,yes,./common/img/start02/pic01.jpg
treatment/start/common/img/start02/pic02.jpg,1,yes,./common/img/start02/pic02.jpg
treatment/start/common/img/start02/pic03.jpg,1,yes,./common/img/start02/pic03.jpg
treatment/start/common/img/start02/pic04.jpg,1,yes,./common/img/start02/pic04.jpg
treatment/start/common/img/start02/pic05.jpg,1,yes,./common/img/start02/pic05.jpg
treatment/start/common/img/start02/pic06.jpg,1,yes,./common/img/start02/pic06.jpg
treatment/start/common/img/start02/pic07.jpg,1,yes,./common/img/start02/pic07.jpg
treatment/start/common/img/start02/pic08.jpg,1,yes,./common/img/start02/pic08.jpg
treatment/start/common/img/start02/pic09.jpg,1,yes,./common/img/start02/pic09.jpg
treatment/start/common/img/start02/pic10.jpg,1,yes,./common/img/start02/pic10.jpg
treatment/start/common/img/start02/pic11.jpg,1,yes,./common/img/start02/pic11.jpg
treatment/start/common/img/start02/pic12.jpg,1,yes,./common/img/start02/pic12.jpg
treatment/start/common/img/start02/pic13.jpg,1,yes,./common/img/start02/pic13.jpg
treatment/start/common/img/start02/pic14.jpg,1,yes,./common/img/start02/pic14.jpg
treatment/start/common/img/start02/pic15.jpg,1,yes,./common/img/start02/pic15.jpg
treatment/start/common/img/start02/pic16.jpg,1,yes,./common/img/start02/pic16.jpg
treatment/start/common/img/start02/pic17.jpg,1,yes,./common/img/start02/pic17.jpg
treatment/start/common/img/start02/pic18.jpg,1,yes,./common/img/start02/pic18.jpg
treatment/start/common/img/start03/A_Ueno_Naoto_3433.jpg,1,yes,./common/img/start03/A_Ueno_Naoto_3433.jpg
treatment/start/common/img/start03/B_Ueno_Naoto_3433.jpg,1,yes,./common/img/start03/B_Ueno_Naoto_3433.jpg
treatment/start/common/img/start03/DBS_Ueno_Naoto_3433.jpg,1,yes,./common/img/start03/DBS_Ueno_Naoto_3433.jpg
treatment/start/common/img/start03/Deb_Ueno_Naoto_3433.jpg,1,yes,./common/img/start03/Deb_Ueno_Naoto_3433.jpg
treatment/start/common/img/start03/LA2_Ueno_Naoto_3433.jpg,1,yes,./common/img/start03/LA2_Ueno_Naoto_3433.jpg
treatment/start/common/img/start03/LA_Ueno_Naoto_3433.jpg,1,yes,./common/img/start03/LA_Ueno_Naoto_3433.jpg
treatment/start/common/img/start03/pic01.jpg,1,yes,./common/img/start03/pic01.jpg
treatment/start/common/img/start03/pic02.jpg,1,yes,./common/img/start03/pic02.jpg
treatment/start/common/img/start03/pic03.jpg,1,yes,./common/img/start03/pic03.jpg
treatment/start/common/img/start03/pic04.jpg,1,yes,./common/img/start03/pic04.jpg
treatment/start/common/img/start03/pic05.jpg,1,yes,./common/img/start03/pic05.jpg
treatment/start/common/img/start03/pic06.jpg,1,yes,./common/img/start03/pic06.jpg
treatment/start/common/img/start03/pic07.jpg,1,yes,./common/img/start03/pic07.jpg
treatment/start/common/img/start03/pic08.jpg,1,yes,./common/img/start03/pic08.jpg
treatment/start/common/img/start03/pic09.jpg,1,yes,./common/img/start03/pic09.jpg
treatment/start/common/img/start03/pic10.jpg,1,yes,./common/img/start03/pic10.jpg
treatment/start/common/img/start03/pic11.jpg,1,yes,./common/img/start03/pic11.jpg
treatment/start/common/img/start03/pic12.jpg,1,yes,./common/img/start03/pic12.jpg
treatment/start/common/img/start03/pic13.jpg,1,yes,./common/img/start03/pic13.jpg
treatment/start/common/img/start04/pic01.jpg,1,yes,./common/img/start04/pic01.jpg
treatment/start/common/img/start04/pic02.jpg,1,yes,./common/img/start04/pic02.jpg
treatment/start/common/img/start04/pic02_3.jpg,2,yes,./common/img/start04/pic02_3.jpg
treatment/start/common/img/start05/pic01.jpg,1,yes,./common/img/start05/pic01.jpg
treatment/start/common/img/start05/pic02.jpg,1,yes,./common/img/start05/pic02.jpg
treatment/start/common/img/start05/pic03.jpg,1,yes,./common/img/start05/pic03.jpg
treatment/start/common/img/start05/pic04.jpg,1,yes,./common/img/start05/pic04.jpg
treatment/start/common/img/start05/pic05.jpg,1,yes,./common/img/start05/pic05.jpg
treatment/start/common/img/start06/pic01.jpg,1,yes,./common/img/start06/pic01.jpg
treatment/start/common/img/start06/pic02.jpg,1,yes,./common/img/start06/pic02.jpg
treatment/start/common/img/start06/pic03.jpg,1,yes,./common/img/start06/pic03.jpg
treatment/start/common/img/start06/pic04.jpg,1,yes,./common/img/start06/pic04.jpg
